BIMAN KALITA,,,,
Profit and Loss by Month,,,,
"January-March, 2026",,,,
,,,,
Column1,Column2,Column3,Column4,Column5
Income,Jan-26,Feb-26,Mar-26,Total
,,,,
Branding Package Revenue,,"7,444.56","5,520.68","12,965.24"
Consulting Revenue,"3,803.29","4,480.50","9,212.99","17,496.78"
Design Services Revenue,"11,470.57","11,907.80","8,328.84","31,707.21"
Discounts & Refunds,,-400,,-400
Total for Income,"15,273.86","23,432.86","23,062.51","$61,769.23"
Gross Profit,"15,273.86","23,432.86","23,062.51","$61,769.23"
Expenses,,,,
Bank Fees,35,15,15,65
Depreciation Expense,,,666.67,666.67
Insurance Expense,,,600,600
Marketing & Advertising,,,"2,450.00","2,450.00"
Office Supplies,,,"1,395.20","1,395.20"
Payroll Taxes,180,180,180,540
Professional Fees,,,400,400
Rent Expense,,,"4,500.00","4,500.00"
Salaries & Wages,"1,800.00","1,800.00","1,800.00","5,400.00"
Software Subscriptions,,,"1,307.96","1,307.96"
Total for Expenses,"2,015.00","1,995.00","13,314.83","$17,324.83"
Net Operating Income,"13,258.86","21,437.86","9,747.68","$44,444.40"
Other Income,,,,
Interest Income,,,12.5,12.5
Total for Other Income,$0.00,$0.00,12.5,$12.50
Net Other Income,$0.00,$0.00,12.5,$12.50
Net Income,"13,258.86","21,437.86","9,760.18","$44,456.90"
,,,,
,,,,
"Accrual Basis Wednesday, September 16, 2026 05:34 PM GMT+05:30",,,,
