Account Name,Account Type,Detail Type,Description,
Business Checking - Chase,Bank,Checking,Primary operating account,
Business Savings - Chase,Bank,Savings,Emergency reserve,
Accounts Receivable,Accounts Receivable,Accounts Receivable,Client invoices outstanding,
Prepaid Insurance,Other Current Assets,Prepaid Expenses,Prepaid annual insurance policy,
Prepaid Software Subscriptions,Other Current Assets,Prepaid Expenses,Prepaid annual software,
Office Equipment,Fixed Assets,Furniture & Equipment,MacBooks and equipment,
Accumulated Depreciation - Equipment,Fixed Assets,Accumulated Depreciation,Accumulated depreciation on equipment,
Accounts Payable,Accounts Payable,Accounts Payable,Vendor bills outstanding,
Accrued Expenses,Other Current Liabilities,Accrued Liabilities,Accrued expenses at month end,
Payroll Liabilities,Other Current Liabilities,Payroll Liabilities,Payroll taxes and withholdings,
Sales Tax Payable,Other Current Liabilities,Sales Tax Payable,Texas sales tax collected,
Deferred Revenue,Other Current Liabilities,Deferred Revenue,Client prepayments for future work,
Owner's Capital - Member A,Equity,Owner's Equity,Member A capital contribution,
Owner's Capital - Member B,Equity,Owner's Equity,Member B capital contribution,
Owner's Draw - Member A,Equity,Owner's Equity,Member A draws,
Owner's Draw - Member B,Equity,Owner's Equity,Member B draws,
Retained Earnings,Equity,Retained Earnings,Accumulated earnings,
Design Services Revenue,Income,Service/Fee Income,Graphic design services,
Branding Package Revenue,Income,Service/Fee Income,Branding and identity packages,
Consulting Revenue,Income,Service/Fee Income,Consulting services,
Discounts & Refunds,Income,Discounts/Refunds Given,Client discounts and refunds,
Salaries & Wages,Expenses,Payroll Expenses,Employee salaries,
Payroll Taxes,Expenses,Payroll Tax Expense,Employer payroll taxes,
Software Subscriptions,Expenses,Dues & Subscriptions,Adobe Creative Cloud, etc.
Office Supplies,Expenses,Office/General Administrative Expenses,Supplies and materials,
Marketing & Advertising,Expenses,Advertising/Promotional,Marketing spend,
Professional Fees,Expenses,Legal & Professional Fees,Legal and accounting,
Rent Expense,Expenses,Rent or Lease of Buildings,Studio rent,
Insurance Expense,Expenses,Insurance,General liability insurance,
Bank Fees,Expenses,Bank Charges,Monthly bank service fees,
Depreciation Expense,Expenses,Depreciation,Straight-line depreciation,
